cdli_name,unicode_name
1(N55),PROTO-CUNEIFORM NUMBER ONE-N55
1(N56),PROTO-CUNEIFORM NUMBER ONE-N56
1(N57),PROTO-CUNEIFORM NUMBER ONE-N57
|1(N57).1(N57)|,PROTO-CUNEIFORM NUMBER ONE-N57 BESIDE ONE-N57
|1(N57).AB2|,PROTO-CUNEIFORM SIGN ONE-N57 BESIDE AB2
|1(N57).SZAH2~a|,PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHAH2-A
|1(N57).SZUBUR|,PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHUBUR
|1(N57).SZUBUR|,PROTO-CUNEIFORM SIGN ONE-N57 VARIANT 1 BESIDE SHUBUR VARIANT 1
1(N58),PROTO-CUNEIFORM NUMBER ONE-N58
|1(N58).BAD~a|,PROTO-CUNEIFORM SIGN ONE-N58 BESIDE BAD-A
|1(N58).BAD~b|,PROTO-CUNEIFORM SIGN ONE-N58 BESIDE BAD-B
|1(N58).BAD~b|,PROTO-CUNEIFORM SIGN ONE-N58 BESIDE BAD-B VARIANT 1
|1(N58@t)|,PROTO-CUNEIFORM NUMBER ONE-N58 TENU
1(N60),PROTO-CUNEIFORM NUMBER ONE-N60
1(N63),PROTO-CUNEIFORM NUMBER ONE-N63
2(N01),PROTO-CUNEIFORM NUMBER TWO-N1
2(N01@f),PROTO-CUNEIFORM NUMBER TWO-N1 FLAT
2(N02),PROTO-CUNEIFORM NUMBER TWO-N2
2(N03),PROTO-CUNEIFORM NUMBER TWO-N3
2(N04),PROTO-CUNEIFORM NUMBER TWO-N4
2(N04@f),PROTO-CUNEIFORM NUMBER TWO-N4 FLAT
2(N05),PROTO-CUNEIFORM NUMBER TWO-N5
2(N07~a),PROTO-CUNEIFORM NUMBER TWO-N7-A
2(N07~b),PROTO-CUNEIFORM NUMBER TWO-N7-B
2(N08),PROTO-CUNEIFORM NUMBER TWO-N8
2(N08~b),PROTO-CUNEIFORM NUMBER TWO-N8-B
2(N14),PROTO-CUNEIFORM NUMBER TWO-N14
2(N14@f),PROTO-CUNEIFORM NUMBER TWO-N14 FLAT
2(N15),PROTO-CUNEIFORM NUMBER TWO-N15
2(N18),PROTO-CUNEIFORM NUMBER TWO-N18
2(N19),PROTO-CUNEIFORM NUMBER TWO-N19
2(N19@f),PROTO-CUNEIFORM NUMBER TWO-N19 FLAT
2(N20),PROTO-CUNEIFORM NUMBER TWO-N20
2(N21),PROTO-CUNEIFORM NUMBER TWO-N21
2(N22),PROTO-CUNEIFORM NUMBER TWO-N22
2(N22@f),PROTO-CUNEIFORM NUMBER TWO-N22 FLAT
2(N23),PROTO-CUNEIFORM NUMBER TWO-N23
2(N24),PROTO-CUNEIFORM NUMBER TWO-N24
2(N29~a),PROTO-CUNEIFORM NUMBER TWO-N29-A
2(N29A~b),PROTO-CUNEIFORM NUMBER TWO-N29A-B
2(N34),PROTO-CUNEIFORM NUMBER TWO-N34
2(N34@f),PROTO-CUNEIFORM NUMBER TWO-N34 FLAT
2(N35),PROTO-CUNEIFORM NUMBER TWO-N35
2(N36),PROTO-CUNEIFORM NUMBER TWO-N36
2(N37),PROTO-CUNEIFORM NUMBER TWO-N37
2(N39~a),PROTO-CUNEIFORM NUMBER TWO-N39-A
2(N39~b),PROTO-CUNEIFORM NUMBER TWO-N39-B
2(N40),PROTO-CUNEIFORM NUMBER TWO-N40
2(N41),PROTO-CUNEIFORM NUMBER TWO-N41
2(N42~a),PROTO-CUNEIFORM NUMBER TWO-N42-A
2(N42~b),PROTO-CUNEIFORM NUMBER TWO-N42-B
2(N45),PROTO-CUNEIFORM NUMBER TWO-N45
2(N45@f),PROTO-CUNEIFORM NUMBER TWO-N45 FLAT
2(N46),PROTO-CUNEIFORM NUMBER TWO-N46
2(N46@f),PROTO-CUNEIFORM NUMBER TWO-N46 FLAT
2(N47),PROTO-CUNEIFORM NUMBER TWO-N47
2(N48),PROTO-CUNEIFORM NUMBER TWO-N48
2(N49),PROTO-CUNEIFORM NUMBER TWO-N49
2(N50),PROTO-CUNEIFORM NUMBER TWO-N50
2(N51),PROTO-CUNEIFORM NUMBER TWO-N51
2(N51@f),PROTO-CUNEIFORM NUMBER TWO-N51 FLAT
2(N52),PROTO-CUNEIFORM NUMBER TWO-N52
2(N54),PROTO-CUNEIFORM NUMBER TWO-N54
2(N56),PROTO-CUNEIFORM NUMBER TWO-N56
2(N57),PROTO-CUNEIFORM NUMBER TWO-N57
|2(N57).AB2|,PROTO-CUNEIFORM SIGN TWO-N57 BESIDE AB2
|2(N57).KU6~a|,PROTO-CUNEIFORM SIGN TWO-N57 BESIDE KU6-A
|2(N57).SZUBUR|,PROTO-CUNEIFORM SIGN TWO-N57 BESIDE SHUBUR
|2(N57).SU~a|,PROTO-CUNEIFORM SIGN TWO-N57 BESIDE SU-A
2(N58),PROTO-CUNEIFORM NUMBER TWO-N58
2(N59),PROTO-CUNEIFORM NUMBER TWO-N59
2(LAGAB~a),PROTO-CUNEIFORM NUMBER TWO-LAGAB-A
3(N01),PROTO-CUNEIFORM NUMBER THREE-N1
3(N01@f),PROTO-CUNEIFORM NUMBER THREE-N1 FLAT
3(N02),PROTO-CUNEIFORM NUMBER THREE-N2
3(N03),PROTO-CUNEIFORM NUMBER THREE-N3
3(N04),PROTO-CUNEIFORM NUMBER THREE-N4
3(N04@f),PROTO-CUNEIFORM NUMBER THREE-N4 FLAT
3(N05),PROTO-CUNEIFORM NUMBER THREE-N5
3(N07~a),PROTO-CUNEIFORM NUMBER THREE-N7-A
3(N07~b),PROTO-CUNEIFORM NUMBER THREE-N7-B
3(N08),PROTO-CUNEIFORM NUMBER THREE-N8
3(N08~b),PROTO-CUNEIFORM NUMBER THREE-N8-B
3(N14),PROTO-CUNEIFORM NUMBER THREE-N14
3(N14@f),PROTO-CUNEIFORM NUMBER THREE-N14 FLAT
3(N15),PROTO-CUNEIFORM NUMBER THREE-N15
3(N18),PROTO-CUNEIFORM NUMBER THREE-N18
3(N19),PROTO-CUNEIFORM NUMBER THREE-N19
3(N19@f),PROTO-CUNEIFORM NUMBER THREE-N19 FLAT
3(N20),PROTO-CUNEIFORM NUMBER THREE-N20
3(N21),PROTO-CUNEIFORM NUMBER THREE-N21
3(N23),PROTO-CUNEIFORM NUMBER THREE-N23
3(N34),PROTO-CUNEIFORM NUMBER THREE-N34
3(N34@f),PROTO-CUNEIFORM NUMBER THREE-N34 FLAT
3(N36),PROTO-CUNEIFORM NUMBER THREE-N36
3(N39~a),PROTO-CUNEIFORM NUMBER THREE-N39-A
3(N39~b),PROTO-CUNEIFORM NUMBER THREE-N39-B
3(N40),PROTO-CUNEIFORM NUMBER THREE-N40
