	9(bur)		9(bur₃)
	abzu		abzu₂
	giri⁻		giri₁₆⁻
	udilia		udilia
	zizna		zizna
×BAD|	×BAD|
@sign	5(GEŠU)	@sign	5(GEŠU)
@sign	5(GEŠ)	@sign	5(GEŠ₂)
@sign	5(U)	@sign	5(U)
@sign	5(U)@v	@sign	5(U)@v
@sign	5(ŠARU)	@sign	5(ŠARU)
@sign	5(ŠAR)	@sign	5(ŠAR₂)
@sign	6(AŠ)	@sign	6(AŠ)
@sign	6(AŠ~a)	@sign	6(AŠ~a)
@sign	6(DIŠ)	@sign	6(DIŠ)
@sign	6(GEŠ)	@sign	6(GEŠ₂)
@sign	6(U)	@sign	6(U)
@sign	6(|ŠAR×KASKAL|)	@sign	6(|ŠAR₂×KASKAL|)
@sign	6(ŠAR)	@sign	6(ŠAR₂)
@sign	7(AŠ)	@sign	7(AŠ)
@sign	7(AŠ~a)	@sign	7(AŠ~a)
@sign	7(DIŠ)	@sign	7(DIŠ)
@sign	7(DIŠ)~a	@sign	7(DIŠ)~a
@sign	7(DIŠ)~b	@sign	7(DIŠ)~b
@sign	7(GEŠ)	@sign	7(GEŠ₂)
@sign	7(U)	@sign	7(U)
@sign	7(ŠAR)	@sign	7(ŠAR₂)
@sign	8(AŠ)	@sign	8(AŠ)
@sign	8(DIŠ)	@sign	8(DIŠ)
@sign	8(GEŠ)	@sign	8(GEŠ₂)
@sign	8(U)	@sign	8(U)
@sign	8(ŠAR)	@sign	8(ŠAR₂)
@sign	9(AŠ)	@sign	9(AŠ)
@sign	9(DIŠ)	@sign	9(DIŠ)
@sign	9(DIŠ~a)	@sign	9(DIŠ~a)
@sign	9(DIŠ~b)	@sign	9(DIŠ~b)
@sign	9(DIŠ~c)	@sign	9(DIŠ~c)
@sign	9(GEŠ)	@sign	9(GEŠ₂)
@sign	9(U)	@sign	9(U)
@sign	9(ŠAR)	@sign	9(ŠAR₂)
@sign	A	@sign	A
@sign	A@g	@sign	A@g
@sign	AB	@sign	AB
@sign	AB@g	@sign	AB@g
@sign	AB	@sign	AB₂
@sign	AD	@sign	AD
@sign	AK	@sign	AK
@sign	AL	@sign	AL
@sign	ALAN	@sign	ALAN
@sign	ALEPH	@sign	ALEPH
@sign	AMAR	@sign	AMAR
@sign	AN	@sign	AN
@sign	ANŠE	@sign	ANŠE
@sign	APIN	@sign	APIN
@sign	ARAD	@sign	ARAD
@sign	ARKAB	@sign	ARKAB₂
@sign	AŠ	@sign	AŠ
@sign	A	@sign	A₂
@sign	AŠ@k	@sign	AŠ@k
@sign	AŠ@z	@sign	AŠ@z
@sign	AŠGAB	@sign	AŠGAB
@sign	AŠ	@sign	AŠ₂
@sign	AŠ	@sign	AŠ₃
@sign	BA	@sign	BA
@sign	BAD	@sign	BAD
@sign	BAG	@sign	BAG₃
@sign	BAHAR	@sign	BAHAR₂
@sign	BAL	@sign	BAL
@sign	BALAG	@sign	BALAG
@sign	BAR	@sign	BAR
@sign	BARA	@sign	BARA₂
@sign	BAU176	@sign	BAU176
@sign	BAU329	@sign	BAU329
@sign	BI	@sign	BI
@sign	BU	@sign	BU
@sign	BU@90	@sign	BU@90
@sign	BU@g	@sign	BU@g
@sign	BULUG	@sign	BULUG
@sign	BUR	@sign	BUR
@sign	BURU	@sign	BURU₅
@sign	BUR	@sign	BUR₂
@sign	DA	@sign	DA
@sign	DAG	@sign	DAG
@sign	DAM	@sign	DAM
@sign	DAR	@sign	DAR
@sign	DARA	@sign	DARA₃
@sign	DARA	@sign	DARA₄
@sign	DE	@sign	DE₂
@sign	DI	@sign	DI
@sign	DIB	@sign	DIB
@sign	DIM	@sign	DIM
@sign	DIM	@sign	DIM₂
@sign	DIN	@sign	DIN
@sign	DIŠ	@sign	DIŠ
@sign	DIŠ@k	@sign	DIŠ@k
@sign	DN	@sign	DN
@sign	DU	@sign	DU
@sign	DU@g	@sign	DU@g
@sign	DU@g@g	@sign	DU@g@g
@sign	DU@s	@sign	DU@s
@sign	DUB	@sign	DUB
@sign	DUB	@sign	DUB₂
@sign	DUG	@sign	DUG
@sign	DUGUD	@sign	DUGUD
@sign	DUH	@sign	DUH
@sign	DUN	@sign	DUN
@sign	DUN@g	@sign	DUN@g
@sign	DUN	@sign	DUN₃
@sign	DUN	@sign	DUN₄
@sign	DUN@g	@sign	DUN₃@g
@sign	DUN@g@g	@sign	DUN₃@g@g
@sign	DUN@g@g@s	@sign	DUN₃@g@g@s
@sign	DUR	@sign	DUR₂
@sign	E	@sign	E
@sign	EDIN	@sign	EDIN
@sign	EGIR	@sign	EGIR
@sign	EGIR@g	@sign	EGIR@g
@sign	EL	@sign	EL
@sign	ELLES257	@sign	ELLES257
@sign	ELLES270	@sign	ELLES270
@sign	ELLES278	@sign	ELLES278
@sign	ELLES302	@sign	ELLES302
@sign	ELLES360	@sign	ELLES360
@sign	ELLES396	@sign	ELLES396
@sign	EN	@sign	EN
@sign	EREN	@sign	EREN
@sign	ERIN	@sign	ERIN₂
@sign	EZEN	@sign	EZEN
@sign	EZEN@90	@sign	EZEN@90
@sign	E	@sign	E₂
@sign	EŠ	@sign	EŠ₂
@sign	F	@sign	F₁
@sign	F	@sign	F₂
@sign	F	@sign	F₃
@sign	F	@sign	F₄
@sign	F	@sign	F₅
@sign	F	@sign	F₆
@sign	GA	@sign	GA
@sign	GA@g	@sign	GA@g
@sign	GABA	@sign	GABA
@sign	GABA@90	@sign	GABA@90
@sign	GAD	@sign	GAD
@sign	GAL	@sign	GAL
@sign	GALAM	@sign	GALAM
@sign	GAM	@sign	GAM
@sign	GAN	@sign	GAN
@sign	GAN@s	@sign	GAN@s
@sign	GAN	@sign	GAN₂
@sign	GAN@g	@sign	GAN₂@g
@sign	GAR	@sign	GAR
@sign	GAR@g	@sign	GAR@g
@sign	GAR	@sign	GAR₃
@sign	GA	@sign	GA₂
@sign	GAŠAN	@sign	GAŠAN
@sign	GEŠTIN	@sign	GEŠTIN
@sign	GE	@sign	GE₂₂
@sign	GI	@sign	GI
@sign	GIDIM	@sign	GIDIM
@sign	GIG	@sign	GIG
@sign	GIR	@sign	GIR₂
@sign	GIR	@sign	GIR₃
@sign	GIR@g	@sign	GIR₂@g
@sign	GISAL	@sign	GISAL
@sign	GIŠ	@sign	GIŠ
@sign	GI	@sign	GI₄
@sign	GN	@sign	GN
@sign	GU	@sign	GU
@sign	GUD	@sign	GUD
@sign	GUL	@sign	GUL
@sign	GUM	@sign	GUM
@sign	GUR	@sign	GUR
@sign	GURUN	@sign	GURUN
@sign	GURUŠ	@sign	GURUŠ
@sign	GUR	@sign	GUR₇
@sign	GU	@sign	GU₂
@sign	GU@g	@sign	GU₂@g
@sign	HA	@sign	HA
@sign	HA@g	@sign	HA@g
@sign	HAL	@sign	HAL
